問題形式,問題文,答え,備考(難易度),作成者
択一(文章),"世界三大珍味は「キャビア」「トリュフ」ともう１つはなんでしょうか？
１．アンチョビ　２．フォアグラ　３．マツタケ",２．フォアグラ,中級（小学生高学年 or 中学生レベル？）,最勝寺
択一(文章),"面積が日本一大きい都道府県は北海道ですが、面積が一番小さい都道府県はどこでしょうか？
１．東京都　２．沖縄県　３．香川県",３．香川県,中級,最勝寺
択一(文章),"60歳は還暦。では、70歳はなんでしょうか？
１．古希　２．傘寿　３．卒寿",１．古希,中級,最勝寺
択一(文章),"5月は「皐月（さつき）」、12月は「師走（しわす）」…。　
では、9月はなんでしょうか？
１．長月（ながつき）　２．霜月（しもつき）　
３．如月（きさらぎ）",１．長月（ながつき）,中級,最勝寺
択一(文章),"初夢に出てくると縁起が良いと言われている食べ物はなんでしょうか？
１．葡萄　２．茄子　３．蓮根",２．茄子,中級,最勝寺
択一(文章),"日本の初代内閣総理大臣は誰でしょうか？
１．大隈重信　２．小泉純一郎　３．伊藤博文",３．伊藤博文,中級,最勝寺
択一(文章),"1年間の中で祝日が1日もない月はいくつあるでしょうか？
１．1つ　２．2つ　３．3つ",２．2つ,中級,最勝寺
択一(文章),"イギリスのお金の単位はどれでしょうか？
１．ドル　２．ルピー　３．ポンド",３．ポンド,中級,最勝寺
択一(文章),"次のうち、「乳製品」ではないものはどれでしょうか？
１．マーガリン　２．バター　３．チーズ",１．マーガリン,中級,最勝寺
択一(文章),"次のうち「哺乳類」ではない生き物はどれでしょうか？
１．イルカ　２．サメ　３．シャチ",２．サメ,中級,最勝寺
一問一答,"京都三大祭りとは、5月の葵祭、7月の祇園祭と
10月の何祭でしょう？",時代祭,上級（大人レベル？）,最勝寺
一問一答,"火を神聖視することから「拝火教」とも呼ばれる、
古代ペルシアを起源とする宗教は何でしょう？",ゾロアスター教,上級,最勝寺
一問一答,"なぜ山に登るのか？」と聞かれて「そこに山がある
から」と答えた逸話で知られるイギリスの登山家は
誰でしょう？",ジョージ・マロリー,上級,最勝寺
一問一答,"「芸術は爆発だ」の名言で知られる、『傷ましき腕』
、『太陽の塔』などの代表作で知られる芸術家は誰
でしょう？",岡本 太郎,上級,最勝寺
一問一答,"花札の10月の札で鹿がそっぽを向いていることが由
来である、「無視すること」を表す言葉は何でしょう？",しかと,上級,最勝寺
一問一答,"ブダペストはハンガリーの首都ですが、ブカレス
トはどこの首都でしょう？",ルーマニア,上級,最勝寺
一問一答,"追いつ追われつの試合のことを、ある遊具の名前を
使って何というでしょう
",シーソーゲーム,上級,最勝寺
一問一答,"タバコ、ジャガイモ、トマトはいずれも何科の植物
でしょう？
",ナス科,上級,最勝寺
一問一答,"医療器具の「AED」とは、何という日本語の略称
でしょう？",自動体外式除細動器,上級,最勝寺
一問一答,"日本の本州を青森県から山口県まで陸路で縦断する時、
どんなルートでも必ず通る都道府県はどこでしょう？",兵庫県,上級,最勝寺
一問一答,"日本三名園とは、金沢市の兼六園、岡山市の後楽園
と水戸市の何でしょう？",偕楽園,上級,最勝寺
一問一答,"6、28、496のように、その数以外の約数の和がその数と
等しくなる数のことを何というでしょう？",完全数,上級,最勝寺
一問一答,"コンビニチェーン店の「セブンイレブン」のロゴの中で、
唯一小文字であるアルファベットは何でしょう？",n,上級,最勝寺
一問一答,"講道館柔道の創始者であり、日本のオリンピック初参加に
尽力したことから、「日本の体育の父」とも呼ばれる柔道家は
誰でしょう？","嘉納治五郎　
かのうじごろう",上級,最勝寺
一問一答,"「えたいの知れない不吉な塊が私の心を始終おさえつけ
ていた。」という書き出しで始まる、梶井基次郎かじい
もとじろうの小説は何でしょう？","檸檬
れもん",上級,最勝寺
一問一答,"「馴らすことのできない」という意味のオランダ語に
由来するという説がある、男勝りの活発な女の子の
ことを指す言葉は何でしょう？","お転婆
おてんば",上級,最勝寺
一問一答,"「食べられる国宝」として知られている、ハンガリー
固有の希少種の豚は何でしょう？",マンガリッツァ,上級,最勝寺
一問一答,"漢数字の「百」から「一」を引くということから、
99歳のお祝いのことを何というでしょう？",白寿,上級,最勝寺
一問一答,"地球のマントルと外核の間にある不連続面のことを、
アメリカの地質学者の名前から「何不連続面」と
いうでしょう？",グーテンベルク不連続面,上級,最勝寺
一問一答,"地球の最高峰の山はエベレストですが、
火星の最高峰の山はどこでしょう？",オリンポス山,上級,最勝寺
一問一答,"陸上の十種競技で、最初に行われるのは100メートル
走ですが、最後に行われるのは何でしょう？",1500m走,上級,最勝寺
一問一答,"ウニ類の咀嚼器官のことを古代ギリシャの哲学者の
名前を用いて「何の提灯」と呼ぶでしょう？",アリストテレスの提灯,上級,最勝寺
一問一答,"本来は「イノシシを追うための小屋」という意味で
ある、単語の意味を推測するテーブルゲームは何
でしょう？",たほいや,上級,最勝寺
一問一答,"1番から626番まである、作曲家モーツァルトの作品
につけられた通し番号のことを「何番号」という
でしょう？",ケッヘル番号,上級,最勝寺
一問一答,"太平洋赤道域中部から東部にかけて、海面水温が平年
より低くなる現象を、「女の子」という意味のスペイン
語に由来する言葉で「何現象」というでしょう？",ラニーニャ現象,上級,最勝寺
一問一答,"県の木をイチョウとしている都道府県は、東京都、
大阪府とどこでしょう？",神奈川県,上級,最勝寺
一問一答,「マラソン」の名前の由来となった、紀元前490年に戦いが起きたギリシャの村は何でしょう？,マラトン,上級,最勝寺
一問一答,「勤勉・倹約」の精神を課したギリシャの都市国家の名前に由来する、非常に厳しい教育のことを指す言葉は何でしょう？,スパルタ,上級,最勝寺
一問一答,"ギリシャ神話において、ふたご座として星になったのは兄のカストルと弟の誰でしょう？
",ポルックス,上級,最勝寺
一問一答,"古ノルド語で「記憶」という意味がある、北欧神話に
おいて、フギンと共にオーディンに付き添う
ワタリガラスの名前は何でしょう？",ムニン,上級,最勝寺
一問一答,"国立天文台が定める「三大流星群」とは、
1月のしぶんぎ座流星群、7月のペルセウス座流星群と
12月の何流星群でしょう？",ふたご座流星群,上級,最勝寺
一問一答,"中国神話における四神のうち、東を守っているのは
何でしょう？",青龍,上級,最勝寺
一問一答,"東映の映画のオープニング「荒磯の波」として
使用されたことで知られる、千葉県銚子市にある岬
の名前は何でしょう？","犬吠埼
いぬぼうざき",上級,最勝寺
一問一答,"フィギュアスケートのルッツジャンプに名前を残す
「アロイス・ルッツ」の出身国はどこでしょう？",オーストリア,上級,最勝寺
一問一答,"アメリカの州の中で、州旗にイギリス国旗が
描かれているのは何州でしょう？",ハワイ州,上級,最勝寺
一問一答,"アメリカの州の中で、日本より面積が大きいのは、
アラスカ州、テキサス州、カリフォルニア州と
どこでしょう？",モンタナ州,上級,最勝寺
一問一答,"旧称は「ベドロー島」である、「自由の女神」が
あることで有名なアメリカの島はどこでしょう？",リバティ島,上級,最勝寺
一問一答,"元々は氷を運ぶためのカバンだったことから、
「運ぶ」を意味するアメリカの俗語が名前の由来と
なったのは何でしょう？",トートバッグ,上級,最勝寺
一問一答,"新井白石らを含む「木門十哲」と呼ばれる人材を
輩出したことで知られる、江戸時代の儒学者は
誰でしょう？","木下順庵
きのしたじゅんあん",上級,最勝寺
一問一答,"サッカー日本代表が、1998年のフランスW杯への
出場を決めた試合のことを、試合の会場となった
マレーシアの都市から「何の歓喜」というでしょう？",ジョホールバルの歓喜,上級,最勝寺
一問一答,"世界で一番早く太陽が昇ることから、
国旗に日の出の太陽がデザインされている
国はどこでしょう？",キリバス,上級,最勝寺
一問一答,"国連に加盟している国の首都の中で最も北に位置
している、アイスランドの首都はどこでしょう？",レイキャビク,上級,最勝寺
一問一答,"和歌山県に存在する、
本州最南端の岬は何でしょう？","潮岬
しおのみさき",上級,最勝寺
一問一答,"全高828メートルである、
アラブ首長国連邦のドバイにある世界で
最も高い高層ビルは何でしょう？",ブルジュ・ハリファ,上級,最勝寺
一問一答,"「QRコード」の「QR」とは
何という言葉の略でしょう？",クイック・レスポンス,上級,最勝寺
一問一答,"小麦粉の英語「フラワー」にあって、
花の英語「フラワー」にないアルファベットは
何でしょう？",u,上級,最勝寺
一問一答,"『ひまわり』を描いたのはゴッホですが、
『ひまわりを描くゴッホ』を描いたのは誰でしょう？",ゴーギャン,上級,最勝寺
一問一答,"ポテトサラダやアイスクリームをすくうのに用いる、
半球状の器に取っ手がついた器具を何というでしょう？",ディッシャー,上級,最勝寺
一問一答,"日本でいう「郵便番号」をアメリカでは
アルファベット3文字で「何コード」というでしょう？",ZIPコード,上級,最勝寺
一問一答,"赤外線を表す「IR」とは、
何という言葉の略称でしょう？",インフラ・レッド,上級,最勝寺
一問一答,日本の最北端の国は何でしょう？,択捉島,初級(中学生),田所
一問一答,日本の最東東端の国は何でしょう？,南鳥島,初級(中学生),田所
二択,"人間の体にある血管をすべて繋げると、ある距離と
同じぐらいだと言われています。それは次のうち
どれでしょうか？
1．地球1周ぐらいの距離
2．地球2周以上の距離","2．地球2周
以上の距離",小学向け,最勝寺
二択,"人間が歩いて地球を1周すると、どれくらいの日数
がかかるでしょうか？
1．約265日間
2．約416日間",2．約416日間,小学向け,最勝寺
二択,"落花生の実はどのようにできるでしょうか？
1．イチゴのように茎に付いて生えてくる
2．じゃがいものように地面の下にできる","2．じゃがいも
のように地面の
下にできる",小学向け,最勝寺
二択,"お菓子のガムとチョコレートを同時に食べると不思議
な現象が起こります。
いったいどうなるでしょうか？
1．ガムも溶けて無くなってしまう
2．お腹が痛くなる
","1．ガムも溶け
    て無くなって
    しまう",小学向け,最勝寺
二択,"マシュマロの名前の由来は次のうちどれでしょうか？
1．開発者の名前
2．材料になった植物の名前","2．材料に
なった植物の
名前",小学向け,最勝寺
